approved	datestart	dateend	label	name	cancelled	cancellation_description	shortname	hashtag	homepage	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Logo	Edition’s Topic	Stream	Twitter	Mastodon	Github
yes	20200424	20200426	Akademy-es	Akademy-es 2020	postpone	<p>This event has been postponed to an indifinite date due to the Corona virus epedemic.</p>			https://www.kde-espana.org/akademy-es-2020	Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	36.69882	-4.43922		<p>Akademy-es es el encuentro anual de desarrolladores, colaboradores y usuarios de KDE en España, que se celebra desde el año 2006 en distintas ciudades del territorio español y con ésta se llegará a la decimocuarta edición.</p><p>Este año Akademy-es 2020 se celebrará en Málaga concretamente dentro del gran evento libre Opensouthcode del 24 al 26 de abril.</p><p>Málaga, capital de la provincia homónima, es la quinta ciudad de España en número de habitantes. Está situada en el sur de la Península Ibérica, en un privilegiado enclave natural.</p><p>El mar Mediterráneo baña sus costas y los montes de Málaga la circundan, conformando una barrera montañosa que la defiende del frío, caracterizándose su clima por sus suaves temperaturas gracias al papel del mar como regulador térmico.</p>	20200229	https://www.kde-espana.org/akademy-es-2020/presenta-tu-charla	Project Conference,Hackmeeting	KDE,	Zero	?	?	ES	KDE España	Akademy-es is hosted by <a href=”/2020/04-24-opensouthcode.html”>Open South Code</a>								
yes	20200424	20200425	Opensouthcode	Opensouthcode 2020	postpone	<p>This event has been postponed to an indifinite date due to the Corona virus epedemic.</p>	Opensouthcode	Opensouthcode	https://www.opensouthcode.org/	Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	36.69882	-4.43922	https://www.opensouthcode.org/conferences/opensouthcode2020#conduct	<p>Opensouthcode es un evento para promocionar y dar a conocer las tecnologías abiertas: software/hardware libre y opensource. El evento es gratuito.</p><p>Opensouthcode is an event to promote open technologies: free software/hardware and opensource. The event is free (as in beer 	20200124	https://www.opensouthcode.org/conferences/opensouthcode2020/program/proposals/new	Community Conference	Free Software, Free Hardware, Open Source	Zero	no	?	ES		Open South Code hosts Akademy-es, the annual hackmeeting and conference of KDE España						https://twitter.com/opensouthcode		
yes	20200425	20200425	FLISOL	Festival Latinoamericano de Instalación de Software Libre			FLISOL		https://flisol.info/FLISOL2020/Espana								Cada año, el cuarto sábado de abril se organizan jornadas de difusión de Software Libre de forma simultánea en varios cientos de localidades del planeta, un macroevento conocido como FLISOL. Hace ya 9 años se organizó por primera vez en España, por lo que en 2019 será la 10ª vez que se realice. Y es que lo gratificante de la experiencia y la importancia de apoyar y difundir el Software Libre en nuestro entorno, nos motiva a continuar año tras año. 			Regional Day				?											
yes	20200425	20200425	Open Education Day	Open Education Day	cancelled	<p>This event has been cancelled to slow down the spreading of COVID-19 virus. We know this is a big loss for everyone involved, for organisers, speakers, participants, volunteers and also for the budgets.</p><p>Our full solidarity and we hope you grow stronger than ever in your next editions &lt;3</p>			https://openeducationday.ch/	Bern	CH	Pädagogische Hochschule	https://www.openstreetmap.org/node/6140870034	46.95237	7.42275	nococ	Mit einer breiten Palette von Referaten, Workshops und Kurzpräsentationen vermittelt die kostenlose Tagung Wissen und Erfahrung zu Open Source Technologien, Open Content und Informatikkompetenzen im Lehrplan 21.	20191201	https://openeducationday.ch/call-for-speakers/					?											
yes	20200430	20200430	Linux Days Villach	Linux Days Villach					https://services.htl-villach.at/linuxday/	Villach	AT					nococ	?			Community Conference		?	?	?	DE										
yes	20200504	20200504	Digitale Souveränität	Digitale Souveränität und Modernisierung der öffentlichen Verwaltung					https://registration.fsfe.org/Digitale-Verwaltung-2020	Berlin	DE	Kalkscheune	https://www.openstreetmap.org/relation/1505139	52.52416	13.38956	https://fsfe.org/about/codeofconduct	<p>In den letzten Jahren wurde verstärkt über den Einsatz Freier Software in Verwaltungen diskutiert. Viele Verwaltungen haben mittlerweile weitreichende, positive Erfahrungen mit dem Einsatz Freier Software sammeln können. In einigen Bereichen sehen sie sich jedoch durch die Abhängigkeiten von einzelnen Herstellern proprietärer Software immer noch mit schwierigen Situationen konfrontiert: Modifikationen können nur umständlich vorgenommen werden, die Zusammenarbeit mit anderen Verwaltungen wird erschwert und Steuergelder werden für Lizenzen verwendet.</p><p>In der Veranstaltung wollen wir zum einen erfolgreiche Freie-Software-Projekte in der Verwaltung aus Anbietersicht vorstellen (Vormittag) als auch die Sicht der Verwaltungen auf Freie-Software-Projekte diskutieren (Nachmittag). Die Pausen sollen genutzt werden, damit Interessierte im Rahmen einer Ausstellung ins Gespräch kommen können.</p>			Policy Conference	fsfe,publiccode,digitale souveränität,verwaltung	Zero	https://registration.fsfe.org/Digitale-Verwaltung-2020	1st time	DE	Free Software Foundation Europe				/data/eventlogos/2020/2020-logo-fsfe.png					
yes	20200611	20200613	DrupalCamp Spain	DrupalCamp Spain 2020					https://2020.drupalcamp.es/	Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	36.69882	-4.4392	https://docs.google.com/document/d/1egzPQfY0Tg4IjPUlnvz5BrEWwOPnBK2A91Zy-KIwK2w/edit?usp=sharing				Conference,Project	Drupal	?	yes	300	ES	Asociación Española de Drupal				no			http://twitter.com/drupalcampspain		
yes	20200509	20200511	Wikimedia Hackathon	Wikimedia Hackathon 2020					https://www.mediawiki.org/wiki/Wikimedia_Hackathon_2020	Tirana	SQ	Oficina	https://www.openstreetmap.org/way/449516501	41.33538	19.80763	https://foundation.wikimedia.org/wiki/Friendly_space_policy	The Wikimedia Hackathon is a major event that brings together developers from all around the world to improve the technological infrastructure of Wikipedia and other Wikimedia projects, particularly the MediaWiki platform on which they are based, and other Wikimedia code development.			Hackathon	Wikimedia,Wikipedia,Open Knowledge	Zero	yes	?	EN										
yes	20200521	20200521	OpenTechSummit	OpenTechSummit			OpenTechSummit	OpenTechSummit	https://opentechsummit.net/	Berlin	DE	Motionlab	https://www.openstreetmap.org/node/4764927721	52.49361	13.44815	http://speakers.opentechsummit.net/coc	Der OpenTechSummit bringt die spannendsten Ideen und Macher der Open-Technology-Community zusammen. Themen reichen von Open Hardware, über Enzyklopädien des freien Wissens, Software-Entwicklung und freie Netze bis hin zu Fragen über Copyright und Patente für Firmengründer. Für Kinder und Technik-Begeisterte gibt es Workshops zum Selberbauen. Der erste OpenTechSummit fand bereits 2009 statt. 			Community Conference		Zero	no	50	EN								https://twitter.com/opntec		
yes	20200526	20200529	Libre Graphics Meeting	Libre Graphics Meeting			LGM	LGM20	http://libregraphicsmeeting.org/2020/	Rennes	FR	Different Places	https://www.openstreetmap.org/#map=19/48.10164/-1.72557	48.10164	-1.72557	https://libregraphicsmeeting.org/2020/en/codeofconduct.html	The 2020 Libre Graphics Meeting (LGM) will take place from Tuesday May 26th to Friday May 29th in Rennes, France. This annual gathering is an opportunity for teams, contributors and users involved in Libre Graphics to work together, share experiences, and hear new and inspiring ideas. By Libre Graphics we mean “Free, Libre and Open Source tools for creative uses”. LGM is not just about software, but extends to standards and file formats used in creative works. Participants in LGM are people from around the world who are passionate about Free/Libre tools and their creative applications, including developers, designers, artists, academics, and activists.	20200217	https://libregraphicsmeeting.org/2020/en/program.html	Community Conference	Design	?	<a href=”https://libregraphicsmeeting.org/2020/en/register.html”>available</a>	?	EN/FR								https://twitter.com/lgmeeting		
